country,confirmed,death,recovered,active,population
Afghanistan,40510,1501,33824,5185,38041754
Albania,17948,462,10341,7145,2854191
Algeria,55081,1880,38482,14719,43053054
Andorra,3811,63,2470,1278,77142
Angola,8338,255,3040,5043,31825295
Antigua and Barbuda,122,3,101,18,97118
Argentina,1037325,27519,840520,169286,44938712
Armenia,68530,1121,49219,18190,2957731
Australia,27458,905,25148,1405,25364307
Austria,69409,925,52617,15867,8877067
Azerbaijan,46593,642,40448,5503,10023318
Bahamas,6051,127,3633,2291,389482
Bahrain,78907,308,75424,3175,1641172
Bangladesh,393131,5723,308845,78563,163046161
Barbados,222,7,205,10,287025
Belarus,89642,941,80905,7796,9466856
Belgium,253386,10539,21717,221130,11484055
Belize,2937,46,1756,1135,390353
Benin,2557,41,2330,186,11801151
Bhutan,332,0,306,26,763092
Bolivia,140228,8558,106330,25340,11513100
Bosnia and Herzegovina,36315,1031,25779,9505,3301000
Botswana,5609,21,915,4673,2303697
Brazil,5298772,155403,4526393,616976,211049527
Brunei,147,3,143,1,433285
Bulgaria,33335,1048,17598,14689,6975761
Burkina Faso,2406,65,1824,517,20321378
Myanmar,39696,972,18865,19859,54045420
Burundi,550,1,497,52,11530580
Cabo Verde,8033,90,6835,1108,549935
Cambodia,286,0,280,6,16486542
Cameroon,21570,425,20117,1028,25876380
Canada,209036,9883,171405,NA,37589262
Central African Republic,4858,62,1924,2872,4745185
Chad,1404,96,1221,87,15946876
Chile,495637,13719,467269,NA,18952038
China,91044,4739,85899,406,1397715000
Colombia,981700,29464,884895,67341,50339443
Comoros,504,7,494,3,850886
"Congo, Rep.",5156,92,3887,1177,5380508
"Congo, Dem. Rep.",11066,303,10362,401,86790567
Costa Rica,99425,1236,60738,37451,5047561
Cote d'Ivoire,20363,121,20070,172,25716544
Croatia,28287,393,21435,6459,4067500
Cuba,6368,127,5814,427,11333483
Cyprus,2966,25,1444,1497,1198575
Czech Republic,208915,1739,83136,124040,10669709
Denmark,37507,690,30921,5896,5818553
Djibouti,5512,61,5387,64,973560
Dominica,33,0,29,4,71808
Dominican Republic,122398,2206,100051,20141,10738958
Ecuador,155625,12453,134187,8985,17373662
Egypt,105883,6155,98516,1212,100388073
El Salvador,32120,933,27670,3517,6453553
Equatorial Guinea,5074,83,4954,37,1355986
Estonia,4171,71,3334,766,1326590
Eswatini,5805,116,5453,236,1148130
Ethiopia,91118,1384,44506,45228,112078730
Fiji,33,2,30,1,889953
Finland,14071,355,9800,3916,5520314
France,1000369,34075,111715,854579,67059887
Gabon,8901,54,8479,368,2172579
Gambia,3657,118,2658,881,2347706
Georgia,21208,172,9003,12033,3720382
Germany,397922,9911,304173,83838,83132799
Ghana,47461,312,46752,397,30417856
Greece,27334,534,1347,25453,10716322
Grenada,27,0,24,3,112003
Guatemala,102415,3567,92149,6699,16604026
Guinea,11599,70,10461,1068,12771246
Guinea-Bissau,2403,41,1818,544,1920922
Guyana,3850,116,2839,895,782766
Haiti,8979,231,7303,1445,11263077
Honduras,91078,2596,36341,52141,9746117
Hungary,50180,1259,14905,34016,9769949
Iceland,4230,11,3013,1206,361313
India,7706946,116616,6874518,715812,1366417754
Indonesia,373109,12857,297509,62743,270625568
Iran,545286,31346,438709,75231,82913906
Iraq,438265,10418,369010,58837,39309783
Ireland,53422,1868,23364,28190,4941444
Israel,307335,2291,285475,19569,9053300
Italy,449648,36832,257374,155442,60297396
Jamaica,8445,174,4016,4255,2948279
Japan,94515,1686,86429,6400,126264931
Jordan,43620,443,7223,35954,10101694
Kazakhstan,109907,1796,105385,2726,18513930
Kenya,46144,858,32760,12526,52573973
"Korea, Rep.",25543,453,23647,1443,51709098
Kuwait,118531,721,109916,7894,4207083
Kyrgyz Republic,53459,1118,46444,5897,6456900
Laos,24,0,22,2,7169455
Latvia,3797,47,1341,2409,1912789
Lebanon,65577,536,30470,34571,6855713
Lesotho,1918,43,961,914,2125268
Liberia,1385,82,1276,27,4937374
Libya,51625,765,28440,22420,6777452
Liechtenstein,252,1,145,106,38019
Lithuania,8239,120,3599,4520,2786844
Luxembourg,11671,138,8473,3060,619896
Madagascar,16810,238,16215,357,26969307
Malawi,5864,183,4762,919,18628747
Malaysia,22957,199,14931,7827,31949777
Maldives,11316,37,10284,995,530953
Mali,3428,132,2599,697,19658031
Malta,5026,46,3331,1649,502653
Mauritania,7638,163,7363,112,4525696
Mauritius,419,10,379,30,1265711
Mexico,867559,87415,733897,46247,127575529
Moldova,68791,1630,49702,17459,2657637
Monaco,273,2,231,40,38964
Mongolia,328,0,312,16,3225167
Montenegro,16069,250,11815,4004,622137
Morocco,182580,3079,151634,27867,36471769
Mozambique,11331,79,9165,2087,30366036
Namibia,12406,133,10587,1686,2494530
Nepal,144872,791,99605,44476,28608710
Netherlands,259207,6934,5365,246908,17332850
New Zealand,1914,25,1831,58,4917000
Nicaragua,5434,155,4225,1054,6545502
Niger,1214,69,1128,17,23310715
Nigeria,61667,1125,56880,3662,200963599
North Macedonia,24836,862,17905,6069,2083459
Norway,16964,279,11863,4822,5347896
Oman,111484,1137,97367,12980,4974986
Pakistan,325480,6702,309136,9642,216565318
Panama,126435,2597,102725,21113,4246439
Papua New Guinea,581,7,541,33,8776109
Paraguay,56819,1250,37673,17896,7044636
Peru,874118,33875,788494,51749,32510453
Philippines,362243,6747,311506,43990,108116615
Poland,202579,3851,98884,99844,37970874
Portugal,106271,2229,63238,40804,10269417
Qatar,130210,225,127093,2892,2832067
Romania,191102,6065,137835,47202,19356544
Russia,1438219,24786,1091264,322169,144373535
Rwanda,5012,34,4798,180,12626950
St. Kitts and Nevis,19,0,19,0,52823
St. Lucia,38,0,27,11,182790
St. Vincent and the Grenadines,68,0,64,4,110589
San Marino,774,42,690,42,33860
Sao Tome and Principe,935,15,898,22,215056
Saudi Arabia,343373,5235,329715,8423,34268528
Senegal,15484,321,13975,1188,16296364
Serbia,37120,780,0,36340,6944975
Seychelles,151,0,148,3,97625
Sierra Leone,2337,73,1771,493,7813215
Singapore,57933,28,57821,84,5703569
Slovak Republic,33602,98,8404,25100,5454073
Slovenia,15982,200,6922,8860,2087946
Solomon Islands,3,0,0,3,669823
Somalia,3890,101,3166,623,15442905
South Africa,708359,18741,641706,47912,58558270
South Sudan,2870,55,1290,1525,11062113
Spain,1005295,34366,150376,820553,47076781
Sri Lanka,5978,13,3501,2464,21803000
Sudan,13724,836,6764,6124,42813238
Suriname,5150,109,4991,50,581372
Sweden,107355,5929,0,101426,10285453
Switzerland,91763,2039,54600,35124,8574832
Syria,5224,257,1629,3338,17070135
Tajikistan,10613,80,9668,865,9321018
Tanzania,509,21,183,305,58005463
Thailand,3719,59,3514,146,69625582
Timor-Leste,29,0,28,1,1293119
Togo,2120,51,1561,508,8082366
Trinidad and Tobago,5392,101,3822,1469,1394973
Tunisia,45892,740,5032,40120,11694719
Turkey,353426,9513,308446,35467,83429615
Uganda,10933,98,7154,3681,44269594
Ukraine,324942,6093,137515,181334,44385155
United Arab Emirates,119132,472,111814,6846,9770529
United Kingdom,792194,44248,2636,745310,66834405
Uruguay,2663,53,2172,438,3461734
United States,8357429,222436,3323354,NA,328239523
Uzbekistan,64010,534,61068,2408,33580650
Venezuela,88035,753,81626,5656,28515829
Vietnam,1144,35,1046,63,96462106
West Bank and Gaza,48628,427,41935,6266,4685306
Yemen,2057,597,1344,116,29161922
Zambia,16000,346,15168,486,17861030
Zimbabwe,8215,236,7725,254,14645468
